Goroutine	Total		Execution time	Block time (preempted)	Block time (syscall)	Sched wait time	Syscall execution time	Unknown time
494	1m5.063453632s		513.454464ms	0s	0s	1m4.549999168s	0s	0s
110	1m5.056037888s		557.616512ms	0s	0s	1m4.498421376s	0s	0s
359	1m5.054766848s		512.933056ms	0s	0s	1m4.541833792s	0s	0s
169	1m5.008223872s		546.92128ms	0s	0s	1m4.461302592s	0s	0s
252	1m5.001155456s		541.599552ms	0s	0s	1m4.459555904s	0s	0s
323	1m4.990823936s		511.091457ms	0s	0s	1m4.479732479s	0s	0s
248	1m4.981545792s		542.524544ms	0s	0s	1m4.439021248s	0s	0s
455	1m4.972348416s		514.639552ms	0s	0s	1m4.457708864s	0s	0s
235	1m4.955039616s		511.404032ms	0s	0s	1m4.443635584s	0s	0s
113	1m4.947505472s		516.956481ms	0s	0s	1m4.430548991s	0s	0s
31	1m4.94445024s		540.567872ms	0s	0s	1m4.403882368s	0s	0s
19	1m4.895352576s		539.05504ms	0s	0s	1m4.356297536s	0s	0s
570	1m4.88615136s		543.658816ms	0s	0s	1m4.342492544s	0s	0s
52	1m4.872745088s		555.072064ms	0s	0s	1m4.317673024s	0s	0s
546	1m4.861698496s		504.544896ms	0s	0s	1m4.3571536s	0s	0s
304	1m4.852955712s		559.109312ms	0s	0s	1m4.2938464s	0s	0s
86	1m4.849542656s		520.692416ms	0s	0s	1m4.32885024s	0s	0s
230	1m4.833993856s		519.86861ms	0s	0s	1m4.314125246s	0s	0s
173	1m4.804753088s		524.259457ms	0s	0s	1m4.280493631s	0s	0s
239	1m4.804259072s		530.987264ms	0s	0s	1m4.273271808s	0s	0s
79	1m4.768105792s		525.038656ms	0s	0s	1m4.243067136s	0s	0s
272	1m4.7595984s		545.620352ms	0s	0s	1m4.213978048s	0s	0s
61	1m4.752441472s		541.209193ms	0s	0s	1m4.211232279s	0s	0s
492	1m4.742629888s		536.766464ms	0s	0s	1m4.205863424s	0s	0s
104	1m4.742312896s		517.005376ms	0s	0s	1m4.22530752s	0s	0s
487	1m4.736395008s		520.531713ms	0s	0s	1m4.215863295s	0s	0s
458	1m4.727845312s		536.50912ms	0s	0s	1m4.191336192s	0s	0s
143	1m4.669950848s		534.150464ms	0s	0s	1m4.135800384s	0s	0s
49	1m4.616448384s		532.336512ms	0s	0s	1m4.084111872s	0s	0s
444	1m4.612053696s		524.378816ms	0s	0s	1m4.08767488s	0s	0s
376	1m4.591601792s		502.993728ms	0s	0s	1m4.088608064s	0s	0s
347	1m4.589861376s		518.266752ms	0s	0s	1m4.071594624s	0s	0s
379	1m4.588582784s		487.77344ms	0s	0s	1m4.100809344s	0s	0s
313	1m4.562268608s		516.172992ms	0s	0s	1m4.046095616s	0s	0s
334	1m4.560505536s		535.584833ms	0s	0s	1m4.024920703s	0s	0s
330	1m4.545842624s		537.240384ms	0s	0s	1m4.00860224s	0s	0s
520	1m4.541020032s		544.469312ms	0s	0s	1m3.99655072s	0s	0s
563	1m4.53999136s		542.132032ms	0s	0s	1m3.997859328s	0s	0s
174	1m4.532500288s		529.404481ms	0s	0s	1m4.003095807s	0s	0s
500	1m4.518814784s		505.819392ms	0s	0s	1m4.012995392s	0s	0s
556	1m4.505296128s		498.028864ms	0s	0s	1m4.007267264s	0s	0s
181	1m4.500536576s		526.01312ms	0s	0s	1m3.974523456s	0s	0s
182	1m4.496397888s		548.488001ms	0s	0s	1m3.947909887s	0s	0s
364	1m4.49542592s		513.421696ms	0s	0s	1m3.982004224s	0s	0s
251	1m4.495014272s		533.955136ms	0s	0s	1m3.961059136s	0s	0s
156	1m4.489029888s		560.814464ms	0s	0s	1m3.928215424s	0s	0s
514	1m4.48249184s		511.326208ms	0s	0s	1m3.971165632s	0s	0s
206	1m4.472031552s		510.991808ms	0s	0s	1m3.961039744s	0s	0s
196	1m4.46795296s		537.278528ms	0s	0s	1m3.930674432s	0s	0s
210	1m4.466894336s		541.083712ms	0s	0s	1m3.925810624s	0s	0s
194	1m4.4616768s		545.611072ms	0s	0s	1m3.916065728s	0s	0s
71	1m4.461288832s		524.693632ms	0s	0s	1m3.9365952s	0s	0s
355	1m4.459297344s		525.776576ms	0s	0s	1m3.933520768s	0s	0s
270	1m4.419671808s		549.211521ms	0s	0s	1m3.870460287s	0s	0s
281	1m4.394968768s		524.244353ms	0s	0s	1m3.870724415s	0s	0s
382	1m4.3906048s		549.281536ms	0s	0s	1m3.841323264s	0s	0s
14	1m4.373138688s		548.013568ms	0s	0s	1m3.82512512s	0s	0s
320	1m4.37016096s		526.869057ms	0s	0s	1m3.843291903s	0s	0s
138	1m4.36766048s		548.336576ms	0s	0s	1m3.819323904s	0s	0s
394	1m4.34898208s		551.893888ms	0s	0s	1m3.797088192s	0s	0s
76	1m4.308832s		546.905152ms	0s	0s	1m3.761926848s	0s	0s
85	1m4.287494592s		515.112576ms	0s	0s	1m3.772382016s	0s	0s
92	1m4.262245376s		541.103104ms	0s	0s	1m3.721142272s	0s	0s
529	1m4.23096768s		529.212992ms	0s	0s	1m3.701754688s	0s	0s
493	1m4.230610112s		523.945792ms	0s	0s	1m3.70666432s	0s	0s
288	1m4.20766464s		528.60608ms	0s	0s	1m3.67905856s	0s	0s
589	1m4.203130496s		534.444929ms	0s	0s	1m3.668685567s	0s	0s
409	1m4.171872448s		529.563904ms	0s	0s	1m3.642308544s	0s	0s
116	1m4.165689856s		504.434625ms	0s	0s	1m3.661255231s	0s	0s
258	1m4.14749664s		501.5984ms	0s	0s	1m3.64589824s	0s	0s
450	1m4.1311728s		538.063425ms	0s	0s	1m3.593109375s	0s	0s
344	1m4.123971904s		542.488896ms	0s	0s	1m3.581483008s	0s	0s
509	1m4.11003264s		517.603328ms	0s	0s	1m3.592429312s	0s	0s
491	1m4.094663808s		517.272704ms	0s	0s	1m3.577391104s	0s	0s
48	1m4.076606784s		537.911745ms	0s	0s	1m3.538695039s	0s	0s
438	1m4.064533952s		538.153408ms	0s	0s	1m3.526380544s	0s	0s
572	1m4.051943936s		522.482944ms	0s	0s	1m3.529460992s	0s	0s
503	1m4.048527552s		520.017408ms	0s	0s	1m3.528510144s	0s	0s
224	1m4.045937024s		554.048448ms	0s	0s	1m3.491888576s	0s	0s
577	1m4.027887936s		539.760256ms	0s	0s	1m3.48812768s	0s	0s
98	1m4.025274944s		549.890624ms	0s	0s	1m3.47538432s	0s	0s
308	1m4.014655424s		516.541824ms	0s	0s	1m3.4981136s	0s	0s
439	1m3.993327104s		541.676992ms	0s	0s	1m3.451650112s	0s	0s
317	1m3.98125376s		517.80882ms	0s	0s	1m3.46344494s	0s	0s
517	1m3.968797888s		524.955136ms	0s	0s	1m3.443842752s	0s	0s
184	1m3.948747904s		507.995904ms	0s	0s	1m3.440752s	0s	0s
522	1m3.936535808s		498.204544ms	0s	0s	1m3.438331264s	0s	0s
575	1m3.923305216s		534.497536ms	0s	0s	1m3.38880768s	0s	0s
118	1m3.910732096s		530.009153ms	0s	0s	1m3.380722943s	0s	0s
470	1m3.873048704s		553.196671ms	0s	0s	1m3.319852033s	0s	0s
259	1m3.864679232s		522.726528ms	0s	0s	1m3.341952704s	0s	0s
301	1m3.858164224s		499.548032ms	0s	0s	1m3.358616192s	0s	0s
472	1m3.858058112s		552.562624ms	0s	0s	1m3.305495488s	0s	0s
598	1m3.846732544s		497.82432ms	0s	0s	1m3.348908224s	0s	0s
437	1m3.845998848s		537.318913ms	0s	0s	1m3.308679935s	0s	0s
316	1m3.844289216s		488.401664ms	0s	0s	1m3.355887552s	0s	0s
164	1m3.832868224s		516.444032ms	0s	0s	1m3.316424192s	0s	0s
326	1m3.807177344s		537.756672ms	0s	0s	1m3.269420672s	0s	0s
380	1m3.805857984s		516.442816ms	0s	0s	1m3.289415168s	0s	0s
449	1m3.788307968s		529.896576ms	0s	0s	1m3.258411392s	0s	0s
486	1m3.769171136s		519.663616ms	0s	0s	1m3.24950752s	0s	0s
80	1m3.760045056s		548.32736ms	0s	0s	1m3.211717696s	0s	0s
412	1m3.756261696s		525.957888ms	0s	0s	1m3.230303808s	0s	0s
391	1m3.724872704s		541.667393ms	0s	0s	1m3.183205311s	0s	0s
515	1m3.69170016s		524.508416ms	0s	0s	1m3.167191744s	0s	0s
420	1m3.66877376s		506.221248ms	0s	0s	1m3.162552512s	0s	0s
209	1m3.666078592s		564.066624ms	0s	0s	1m3.102011968s	0s	0s
331	1m3.657148416s		534.221888ms	0s	0s	1m3.122926528s	0s	0s
374	1m3.619563072s		524.684992ms	0s	0s	1m3.09487808s	0s	0s
269	1m3.597584896s		527.218304ms	0s	0s	1m3.070366592s	0s	0s
557	1m3.578475136s		538.475457ms	0s	0s	1m3.039999679s	0s	0s
584	1m3.569685056s		509.393984ms	0s	0s	1m3.060291072s	0s	0s
426	1m3.554572736s		532.404033ms	0s	0s	1m3.022168703s	0s	0s
287	1m3.547717312s		513.79168ms	0s	0s	1m3.033925632s	0s	0s
151	1m3.53870944s		543.54752ms	0s	0s	1m2.99516192s	0s	0s
452	1m3.537400576s		528.633408ms	0s	0s	1m3.008767168s	0s	0s
440	1m3.494246016s		547.832575ms	0s	0s	1m2.946413441s	0s	0s
154	1m3.460094272s		544.678464ms	0s	0s	1m2.915415808s	0s	0s
190	1m3.42234176s		507.896768ms	0s	0s	1m2.914444992s	0s	0s
343	1m3.407417728s		529.393792ms	0s	0s	1m2.878023936s	0s	0s
433	1m3.400936s		532.067392ms	0s	0s	1m2.868868608s	0s	0s
130	1m3.3894224s		546.016ms	0s	0s	1m2.8434064s	0s	0s
454	1m3.366477696s		515.223104ms	0s	0s	1m2.851254592s	0s	0s
527	1m3.296822912s		534.263104ms	0s	0s	1m2.762559808s	0s	0s
137	1m3.288404288s		564.830912ms	0s	0s	1m2.723573376s	0s	0s
299	1m3.281943872s		505.667648ms	0s	0s	1m2.776276224s	0s	0s
264	1m3.253016192s		532.507777ms	0s	0s	1m2.720508415s	0s	0s
70	1m3.244238656s		521.766448ms	0s	0s	1m2.722472208s	0s	0s
468	1m3.225918464s		498.124032ms	0s	0s	1m2.727794432s	0s	0s
530	1m3.208323008s		512.750016ms	0s	0s	1m2.695572992s	0s	0s
443	1m3.208274624s		541.353728ms	0s	0s	1m2.666920896s	0s	0s
58	1m3.158383424s		541.946733ms	0s	0s	1m2.616436691s	0s	0s
74	1m3.135283968s		499.733697ms	0s	0s	1m2.635550271s	0s	0s
180	1m3.11412928s		512.830208ms	0s	0s	1m2.601299072s	0s	0s
456	1m3.088339072s		504.948032ms	0s	0s	1m2.58339104s	0s	0s
