SCHED 633ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21400 [ 2 65 ] schedticks=[ 533 600 ]
SCHED 644ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21399 [ 1 52 ] schedticks=[ 534 614 ]
SCHED 655ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21399 [ 1 46 ] schedticks=[ 534 621 ]
SCHED 666ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21399 [ 1 46 ] schedticks=[ 535 621 ]
SCHED 676ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21399 [ 1 33 ] schedticks=[ 535 635 ]
SCHED 687ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21399 [ 0 18 ] schedticks=[ 536 650 ]
SCHED 698ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21399 [ 0 6 ] schedticks=[ 536 663 ]
SCHED 708ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21271 [ 121 5 ] schedticks=[ 543 664 ]
SCHED 719ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21271 [ 122 5 ] schedticks=[ 543 665 ]
SCHED 729ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21270 [ 109 5 ] schedticks=[ 557 665 ]
SCHED 742ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21270 [ 94 5 ] schedticks=[ 573 665 ]
SCHED 755ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21270 [ 78 4 ] schedticks=[ 589 666 ]
SCHED 765ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21270 [ 73 4 ] schedticks=[ 595 666 ]
SCHED 775ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21270 [ 73 4 ] schedticks=[ 595 667 ]
SCHED 786ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21270 [ 61 4 ] schedticks=[ 609 667 ]
SCHED 798ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21269 [ 45 3 ] schedticks=[ 625 668 ]
SCHED 810ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21269 [ 31 3 ] schedticks=[ 640 668 ]
SCHED 822ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21269 [ 24 2 ] schedticks=[ 647 669 ]
SCHED 832ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21269 [ 25 2 ] schedticks=[ 647 670 ]
SCHED 843ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21269 [ 11 2 ] schedticks=[ 661 670 ]
SCHED 855ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21269 [ 6 2 ] schedticks=[ 667 670 ]
SCHED 868ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21269 [ 6 2 ] schedticks=[ 667 671 ]
SCHED 878ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21269 [ 6 2 ] schedticks=[ 668 671 ]
SCHED 891ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21268 [ 6 2 ] schedticks=[ 668 673 ]
SCHED 902ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21268 [ 6 2 ] schedticks=[ 669 673 ]
SCHED 912ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=21268 [ 6 2 ] schedticks=[ 669 674 ]
