SCHED 618ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1949 [ 93 96 ] schedticks=[ 601 548 ]
SCHED 631ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1948 [ 78 80 ] schedticks=[ 617 565 ]
SCHED 643ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1948 [ 70 64 ] schedticks=[ 625 581 ]
SCHED 655ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1948 [ 70 49 ] schedticks=[ 625 596 ]
SCHED 668ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1949 [ 53 45 ] schedticks=[ 642 600 ]
SCHED 678ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1949 [ 40 45 ] schedticks=[ 655 600 ]
SCHED 689ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1949 [ 26 32 ] schedticks=[ 669 614 ]
SCHED 701ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1948 [ 19 16 ] schedticks=[ 677 630 ]
SCHED 714ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1948 [ 19 0 ] schedticks=[ 677 646 ]
SCHED 725ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1821 [ 5 126 ] schedticks=[ 691 648 ]
SCHED 735ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1693 [ 120 126 ] schedticks=[ 704 648 ]
SCHED 748ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1694 [ 103 110 ] schedticks=[ 721 664 ]
SCHED 759ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1693 [ 101 103 ] schedticks=[ 723 672 ]
SCHED 771ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1693 [ 101 103 ] schedticks=[ 723 672 ]
SCHED 784ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1694 [ 85 86 ] schedticks=[ 740 689 ]
SCHED 796ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1694 [ 69 75 ] schedticks=[ 756 700 ]
SCHED 809ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1694 [ 53 75 ] schedticks=[ 772 700 ]
SCHED 820ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1695 [ 50 61 ] schedticks=[ 775 714 ]
SCHED 830ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1695 [ 50 47 ] schedticks=[ 775 728 ]
SCHED 841ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1695 [ 37 36 ] schedticks=[ 788 740 ]
SCHED 852ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1694 [ 24 24 ] schedticks=[ 802 752 ]
SCHED 864ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1694 [ 8 24 ] schedticks=[ 818 752 ]
SCHED 875ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1567 [ 122 9 ] schedticks=[ 832 767 ]
SCHED 888ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1439 [ 106 122 ] schedticks=[ 848 782 ]
SCHED 899ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1437 [ 93 108 ] schedticks=[ 862 797 ]
SCHED 911ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1437 [ 80 106 ] schedticks=[ 875 799 ]
SCHED 922ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1437 [ 80 106 ] schedticks=[ 875 799 ]
SCHED 932ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1439 [ 66 92 ] schedticks=[ 889 813 ]
SCHED 944ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1439 [ 50 76 ] schedticks=[ 905 829 ]
SCHED 955ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1438 [ 38 63 ] schedticks=[ 918 842 ]
SCHED 965ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1438 [ 29 55 ] schedticks=[ 927 850 ]
SCHED 978ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1438 [ 29 55 ] schedticks=[ 927 850 ]
SCHED 989ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1439 [ 14 41 ] schedticks=[ 942 865 ]
SCHED 1002ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1311 [ 126 25 ] schedticks=[ 958 881 ]
SCHED 1013ms: gomaxprocs=2 idleprocs=0 threads=5 spinningthreads=0 needspinning=1 idlethreads=2 runqueue=1312 [ 113 11 ] schedticks=[ 971 897 ]
